feature,f_classif_score,model
BC015596,10.596633774698827,Logistic Regression
BC109248,10.553931584804149,Logistic Regression
NM_031950,10.548196732978552,Logistic Regression
XM_928653,10.539719589149223,Logistic Regression
NM_001017396,10.533169719656623,Logistic Regression
NM_001039948,10.51082012908555,Logistic Regression
NM_030925,10.498893016074899,Logistic Regression
NM_017814,10.493990536378329,Logistic Regression
BC038411,10.493284098677705,Logistic Regression
BC036846,10.489623423596765,Logistic Regression
NM_003975,10.479757935873621,Logistic Regression
BC034821,10.478882165082457,Logistic Regression
NM_005785,10.476457900269356,Logistic Regression
NM_145647,10.467785568488415,Logistic Regression
BC107037,10.466623106600805,Logistic Regression
NM_015224,10.46054209125658,Logistic Regression
NM_182594,10.442005496981015,Logistic Regression
BC012514,10.441090183923182,Logistic Regression
AB209669,10.434463761000291,Logistic Regression
NM_033423,10.431191803019084,Logistic Regression
DQ063579,10.430411194060381,Logistic Regression
BC112930,10.42768023615864,Logistic Regression
BC025680,10.417287041721737,Logistic Regression
AK123074,10.411756793338126,Logistic Regression
AK097144,10.407731394154586,Logistic Regression
BC098107,10.401498396409066,Logistic Regression
BC093977,10.390067968128397,Logistic Regression
NM_024551,10.385853717786931,Logistic Regression
BC101590,10.38509157853054,Logistic Regression
AK023285,10.378843498015137,Logistic Regression
BC009706,10.378765461641736,Logistic Regression
BC022874,10.370924061374915,Logistic Regression
AX751581,10.370637976111981,Logistic Regression
NM_032680,10.370234584863601,Logistic Regression
NM_032361,10.33424984429232,Logistic Regression
NM_003920,10.31818025479175,Logistic Regression
NM_004926,10.306683654407486,Logistic Regression
AK095090,10.301459725305314,Logistic Regression
NM_001030046,10.28367638039019,Logistic Regression
NM_080627,10.274304184622276,Logistic Regression
BC034576,10.266326267488115,Logistic Regression
NM_058187,10.26083748966212,Logistic Regression
NM_001013738,10.23594735639898,Logistic Regression
NM_030918,10.232365352895737,Logistic Regression
NM_005155,10.227386879273762,Logistic Regression
AL832551,10.226465626783323,Logistic Regression
NM_031217,10.225949726135708,Logistic Regression
AK000374,10.210243485896603,Logistic Regression
BC010899,10.209659375697699,Logistic Regression
NM_001559,10.20432455439576,Logistic Regression
BC007012,10.19999856404829,Logistic Regression
XM_926843,10.191201489601942,Logistic Regression
NM_025168,10.190375832761749,Logistic Regression
NM_014951,10.169727552675889,Logistic Regression
NM_014385,10.166515187366523,Logistic Regression
AB046770,10.151701937432886,Logistic Regression
NM_032160,10.133066787903216,Logistic Regression
BC062574,10.12041366305628,Logistic Regression
NM_001037172,10.111779243223305,Logistic Regression
XM_496634,10.108180965931192,Logistic Regression
NM_006389,10.08640860378563,Logistic Regression
NM_152437,10.08472958485371,Logistic Regression
BC111749,10.079107821977434,Logistic Regression
NM_194429,10.077560696646131,Logistic Regression
XM_031689,10.074290420749362,Logistic Regression
BC112057,10.057229288536034,Logistic Regression
AF258566,10.053321876718476,Logistic Regression
AF503918,10.04803614932065,Logistic Regression
BC028567,10.032347263853529,Logistic Regression
NM_007328,10.028459013258312,Logistic Regression
BC035592,10.024849144395079,Logistic Regression
NM_153613,10.023845248900596,Logistic Regression
NM_017837,10.007635015876238,Logistic Regression
AF329494,10.005673479347902,Logistic Regression
NM_175888,10.003268954252212,Logistic Regression
NM_000070,9.99649498735238,Logistic Regression
BC053357,9.995684680779252,Logistic Regression
XM_496652,9.994656501494983,Logistic Regression
NM_001007258,9.994024885211124,Logistic Regression
AK024273,9.98917695074114,Logistic Regression
NM_181705,9.984928593754361,Logistic Regression
NM_014293,9.972599932970779,Logistic Regression
NM_022746,9.970406038491681,Logistic Regression
BC021896,9.968406067200329,Logistic Regression
BC015202,9.964225429597638,Logistic Regression
NM_002470,9.964021612978037,Logistic Regression
BC007024,9.960278042368252,Logistic Regression
NM_001039935,9.95175392172621,Logistic Regression
NM_001039901,9.95110207809007,Logistic Regression
BC020514,9.950689182232505,Logistic Regression
NM_017495,9.94738669033202,Logistic Regression
NM_052988,9.937463694788226,Logistic Regression
NM_021217,9.93711983673001,Logistic Regression
NM_033206,9.92575165864981,Logistic Regression
AK058090,9.922819352418754,Logistic Regression
AL137703,9.922722552186952,Logistic Regression
BC069535,9.915618595487643,Logistic Regression
NM_020813,9.907285137757954,Logistic Regression
NM_005692,9.890675091368564,Logistic Regression
BX648011,9.886094468006418,Logistic Regression
AK093377,9.88221836574966,Logistic Regression
BC008482,9.880577553028546,Logistic Regression
U73394,9.88025282487068,Logistic Regression
BC060859,9.877901171270002,Logistic Regression
NM_182526,9.87359035719677,Logistic Regression
NM_004095,9.869867428528806,Logistic Regression
NM_024827,9.866639406700243,Logistic Regression
BC021822,9.862985909781035,Logistic Regression
NM_145809,9.849915495491606,Logistic Regression
NM_005419,9.840224087166318,Logistic Regression
NM_198038,9.833418818208465,Logistic Regression
NM_002719,9.825579098016643,Logistic Regression
BC110084,9.822231766990349,Logistic Regression
BC112011,9.819691394066902,Logistic Regression
