feature,f_classif_score,model
DHFR,4.48599390098433,Random Forest
HMCN1,4.483064778058963,Random Forest
ZNF12,4.481888718451548,Random Forest
POM121L8P,4.4766908156222955,Random Forest
COL4A5,4.46876695068572,Random Forest
CD24,4.4681665201432,Random Forest
MDM1,4.461651737267985,Random Forest
PEX11G,4.460204181270544,Random Forest
RNF125,4.4598077736380635,Random Forest
PCDHB4,4.444298829794908,Random Forest
ZPBP,4.439550973971905,Random Forest
SLC30A8,4.417530293480833,Random Forest
SHISA5,4.414837796332526,Random Forest
ALCAM,4.409551174499364,Random Forest
DPYSL3,4.4089705622228985,Random Forest
TACSTD2,4.408732365754811,Random Forest
TSG101,4.399395585484182,Random Forest
SPATA9,4.396997277418369,Random Forest
ABCG8,4.392559042661994,Random Forest
CEP41,4.383056927028257,Random Forest
ZNF654,4.3806807075897805,Random Forest
NUP210L,4.378497618652663,Random Forest
STK17B,4.3739137107974155,Random Forest
FAAH,4.371217026494134,Random Forest
NELL2,4.366264588399414,Random Forest
GSTZ1,4.365931249363079,Random Forest
INTS9,4.361830040409473,Random Forest
JAM2,4.356919433057126,Random Forest
TOMM20,4.356756793862732,Random Forest
DNTTIP2,4.355638916102627,Random Forest
ITPRIPL1,4.3530400014876225,Random Forest
PABPN1,4.350688281681912,Random Forest
STK31,4.346872090557913,Random Forest
AFF4,4.346068092269333,Random Forest
ZNF512B,4.331613145082234,Random Forest
CDC42,4.331152772037826,Random Forest
TNFRSF13B,4.325615244953963,Random Forest
SNRPN,4.3237170830239755,Random Forest
DYNC1I2,4.3204186639207816,Random Forest
KRT23,4.316108494543694,Random Forest
PCNP,4.307783806237145,Random Forest
HLA-A,4.305060119270391,Random Forest
WDR45B,4.302002491578497,Random Forest
ABCC10,4.3006462298460875,Random Forest
RHOXF1,4.29960540703219,Random Forest
HOOK3,4.291364924497323,Random Forest
NFE2L3,4.290563547717385,Random Forest
TTC39C,4.289827602357045,Random Forest
TP73,4.286592327546568,Random Forest
ADAMTSL4,4.286037309660777,Random Forest
HSCB,4.285868560787421,Random Forest
TEAD2,4.279446625102558,Random Forest
SCN7A,4.27554286248924,Random Forest
PCDH8,4.275359500899053,Random Forest
RBM15,4.261786233880223,Random Forest
HSF2,4.2615322669766815,Random Forest
PHC3,4.254960344759225,Random Forest
IFI35,4.253846609502629,Random Forest
TSPAN13,4.253493449388825,Random Forest
LILRA4,4.2514924023965115,Random Forest
BET1L,4.245281475135423,Random Forest
CLEC4A,4.236397875980746,Random Forest
PPIL4,4.236046278848465,Random Forest
PSMB7,4.236033457679921,Random Forest
SLCO4C1,4.228841266020061,Random Forest
NAA16,4.228789466254293,Random Forest
PRR15,4.220888064575909,Random Forest
KRT10,4.215401991207824,Random Forest
EHBP1,4.2153241808776825,Random Forest
CEP120,4.213513458238381,Random Forest
UBE2E3,4.21141014784737,Random Forest
MAP3K7,4.211136750870935,Random Forest
COBLL1,4.210624866115951,Random Forest
CTDSPL2,4.209167431436928,Random Forest
CNTN6,4.201219558459445,Random Forest
CSRP1,4.197244369304,Random Forest
COPS2,4.1942536892086215,Random Forest
ZNF438,4.193560332912561,Random Forest
CDK20,4.193513535408769,Random Forest
ZNF136,4.19283662613104,Random Forest
BCLAF1,4.189592911189805,Random Forest
SMURF2,4.188611934164495,Random Forest
ROBO3,4.186484552666907,Random Forest
ACSL3,4.186294948351294,Random Forest
EIF1,4.180964730526095,Random Forest
GALNT12,4.168059258329842,Random Forest
PDZK1,4.16223803402747,Random Forest
MAP2K6,4.155682540225452,Random Forest
ZDHHC16,4.147950150986007,Random Forest
EFCAB12,4.141990732701886,Random Forest
GRIA4,4.1397208192323545,Random Forest
UBQLN1,4.134018852991509,Random Forest
BTF3L4,4.132018713643136,Random Forest
FGG,4.127537637140469,Random Forest
LYPLA2,4.119640651102038,Random Forest
FKBP1A,4.119207930918033,Random Forest
IGFBP4,4.114546551020233,Random Forest
ETNK1,4.109396050436809,Random Forest
SUPT6H,4.108111901330011,Random Forest
BTK,4.105738643928235,Random Forest
TRPT1,4.0952224746877315,Random Forest
LCA5L,4.088145516110078,Random Forest
KCNC2,4.077908538579327,Random Forest
IL5,4.073223808883015,Random Forest
FDXR,4.070167243415715,Random Forest
PTCRA,4.06593518613728,Random Forest
CPA3,4.065750685214698,Random Forest
MDM4,4.059437287798143,Random Forest
CCDC93,4.059255543325681,Random Forest
MATR3,4.05060472405508,Random Forest
RYK,4.049022259696408,Random Forest
RPF1,4.043807513908094,Random Forest
NFASC,4.040937877354734,Random Forest
RCC1,4.040246474800931,Random Forest
GNA14,4.034988351954054,Random Forest
PRB1,4.029192478906942,Random Forest
NIPAL3,4.029062141174522,Random Forest
CAPN6,4.026069101512575,Random Forest
RHEB,4.026025019857026,Random Forest
CD38,4.02335664514653,Random Forest
CAV2,4.018628758115458,Random Forest
EIF4EBP1,4.016453629912707,Random Forest
TLDC2,3.9951701542844034,Random Forest
RAD17,3.994071802219389,Random Forest
ZC3H7A,3.9920358521088404,Random Forest
CBR3,3.984091464942016,Random Forest
AURKAIP1,3.9825628021512465,Random Forest
ZNF252P-AS1,3.98236357523837,Random Forest
ZDHHC21,3.980690646537168,Random Forest
STX17,3.9797988827335846,Random Forest
YWHAH,3.977019770514144,Random Forest
RHOD,3.974727528643973,Random Forest
PTP4A2,3.9740626751875303,Random Forest
MRPL50,3.971890714023267,Random Forest
EEF2,3.9682558620267163,Random Forest
CHCHD4,3.966396852214569,Random Forest
RHOV,3.964457761485579,Random Forest
ZNF229,3.9590024650936364,Random Forest
EPM2AIP1,3.957775649154634,Random Forest
VIM,3.9499207877529634,Random Forest
CMTR1,3.949125793306821,Random Forest
TRPC1,3.948567074346811,Random Forest
LIG4,3.942906587284773,Random Forest
SH3GLB1,3.9418723727719795,Random Forest
DSEL,3.939837577314867,Random Forest
TMTC4,3.9393711269409892,Random Forest
SCG5,3.929241071118238,Random Forest
ASH1L,3.9267060233873767,Random Forest
RHOG,3.9243839748408713,Random Forest
MTMR12,3.9187590749338677,Random Forest
HLA-DMA,3.9163547973919135,Random Forest
GPR137B,3.9149775471288923,Random Forest
TPR,3.9148029741656223,Random Forest
USP21,3.9119964695769185,Random Forest
SMARCA2,3.9089474390342027,Random Forest
SETD4,3.9027756834861242,Random Forest
SCIMP,3.902635884148928,Random Forest
WBP11,3.902096387054263,Random Forest
FASTKD3,3.9019882593235384,Random Forest
CEACAM1,3.8996619870912217,Random Forest
CPSF7,3.889263508813483,Random Forest
TSPAN3,3.8852290659257385,Random Forest
SRSF11,3.8836327890944013,Random Forest
RAB5C,3.882727763807268,Random Forest
VCPKMT,3.8822678637573467,Random Forest
CBLL1,3.877517073237377,Random Forest
VCAN,3.873857587638865,Random Forest
TBC1D16,3.8715265511226353,Random Forest
CDKL3,3.8653374846034683,Random Forest
POC5,3.8603479418473574,Random Forest
WDR73,3.8585150385535325,Random Forest
ABCD3,3.8583592335202863,Random Forest
MYADM,3.857210620985959,Random Forest
HLA-E,3.8542121725768244,Random Forest
RBM39,3.8507685473265947,Random Forest
PEX14,3.8471931978874876,Random Forest
KCNJ2,3.845236309927641,Random Forest
LAMC1,3.841797897492733,Random Forest
MORF4L1,3.841032025015351,Random Forest
MPDZ,3.8395757339982572,Random Forest
CLASP2,3.8386565532894608,Random Forest
TAF1,3.837372977707232,Random Forest
UVRAG,3.835749051470804,Random Forest
RPS27,3.834774069017888,Random Forest
DVL3,3.834063457853925,Random Forest
NDE1,3.8323076465204435,Random Forest
LANCL2,3.831014366170798,Random Forest
RCCD1,3.8254194273298587,Random Forest
CXorf58,3.823958034552166,Random Forest
STK32A,3.8208190486683526,Random Forest
PPOX,3.8207778794453002,Random Forest
IFNL1,3.8194759493907293,Random Forest
ATP1A1,3.819229118133976,Random Forest
MTERF1,3.818590457939529,Random Forest
SEC23IP,3.8179565465697505,Random Forest
ALOX15,3.814511839806777,Random Forest
TUSC2,3.8140814499133144,Random Forest
CSF2RB,3.813197415245013,Random Forest
GIN1,3.812394638010013,Random Forest
EIF3H,3.810811350434449,Random Forest
SRSF3,3.8080503967355943,Random Forest
OAS3,3.8075837836440605,Random Forest
BFAR,3.806501955823478,Random Forest
SPHK2,3.80580569195848,Random Forest
B3GNT6,3.8021784242145515,Random Forest
RASA2,3.800751507911017,Random Forest
XAGE1B,3.7983547007706475,Random Forest
SLC25A13,3.794023906466364,Random Forest
RASSF7,3.79280636718217,Random Forest
HSPA6,3.7915632772768184,Random Forest
MORF4L2,3.7860270918409507,Random Forest
SC5D,3.7838723528629368,Random Forest
NHS,3.7764749773658006,Random Forest
TIMELESS,3.7663890088165473,Random Forest
PALMD,3.764652826131355,Random Forest
MRPL12,3.7606287843149615,Random Forest
TFPI2,3.7563824886904325,Random Forest
PSENEN,3.7559811103041922,Random Forest
GIMAP4,3.7539879620856635,Random Forest
TMEM123,3.753424795056187,Random Forest
TOR1AIP2,3.753405059591886,Random Forest
COX20,3.7487882527024,Random Forest
CTSV,3.742832470568684,Random Forest
ARGLU1,3.739222419657322,Random Forest
PYROXD2,3.736827057605566,Random Forest
EIF4G2,3.736804088798688,Random Forest
HEATR3,3.7355787726262135,Random Forest
AGR2,3.731565523424044,Random Forest
PABPC1L2A,3.7280633053909975,Random Forest
F2,3.721024907415053,Random Forest
RBBP4,3.7191567248926303,Random Forest
CLDN23,3.7181721268287795,Random Forest
CTNNA2,3.7063188626589407,Random Forest
TCEA2,3.705936642945313,Random Forest
NINJ1,3.7046095067116744,Random Forest
PLAC8,3.703984225526694,Random Forest
TIE1,3.6987489126725355,Random Forest
C6orf120,3.696860554649574,Random Forest
RBMS1,3.6953619153799586,Random Forest
GPHB5,3.6907717084249256,Random Forest
SCO1,3.6880080258803933,Random Forest
